Date,Unconditional,Regime-Filtered
1996-06-27,100000.0,100000.0
1996-06-28,100000.0,100000.0
1996-07-01,100000.0,100000.0
1996-07-02,100000.0,100000.0
1996-07-03,100000.0,100000.0
1996-07-05,100000.0,100000.0
1996-07-08,100000.0,100000.0
1996-07-09,100000.0,100000.0
1996-07-10,100000.0,100000.0
1996-07-11,100000.0,100000.0
1996-07-12,100000.0,100000.0
1996-07-15,100000.0,100000.0
1996-07-16,100000.0,100000.0
1996-07-17,100000.0,100000.0
1996-07-18,100000.0,100000.0
1996-07-19,100000.0,100000.0
1996-07-22,100000.0,100000.0
1996-07-23,100000.0,100000.0
1996-07-24,100000.0,100000.0
1996-07-25,100000.0,100000.0
1996-07-26,100000.0,100000.0
1996-07-29,100000.0,100000.0
1996-07-30,100000.0,100000.0
1996-07-31,100000.0,100000.0
1996-08-01,100000.0,100000.0
1996-08-02,100000.0,100000.0
1996-08-05,100000.0,100000.0
1996-08-06,100000.0,100000.0
1996-08-07,100000.0,100000.0
1996-08-08,100000.0,100000.0
1996-08-09,100000.0,100000.0
1996-08-12,100000.0,100000.0
1996-08-13,100000.0,100000.0
1996-08-14,100000.0,100000.0
1996-08-15,100000.0,100000.0
1996-08-16,100000.0,100000.0
1996-08-19,100000.0,100000.0
1996-08-20,100000.0,100000.0
1996-08-21,100000.0,100000.0
1996-08-22,100000.0,100000.0
1996-08-23,100000.0,100000.0
1996-08-26,100000.0,100000.0
1996-08-27,100000.0,100000.0
1996-08-28,100000.0,100000.0
1996-08-29,100000.0,100000.0
1996-08-30,100000.0,100000.0
1996-09-03,100000.0,100000.0
1996-09-04,100000.0,100000.0
1996-09-05,100000.0,100000.0
1996-09-06,100000.0,100000.0
1996-09-09,100000.0,100000.0
1996-09-10,100000.0,100000.0
1996-09-11,100000.0,100000.0
1996-09-12,100000.0,100000.0
1996-09-13,100000.0,100000.0
1996-09-16,100000.0,100000.0
1996-09-17,100000.0,100000.0
1996-09-18,100000.0,100000.0
1996-09-19,100000.0,100000.0
1996-09-20,100000.0,100000.0
1996-09-23,100000.0,100000.0
1996-09-24,100000.0,100000.0
1996-09-25,100000.0,100000.0
1996-09-26,100000.0,100000.0
1996-09-27,100000.0,100000.0
1996-09-30,100000.0,100000.0
1996-10-01,100000.0,100000.0
1996-10-02,100000.0,100000.0
1996-10-03,100000.0,100000.0
1996-10-04,100000.0,100000.0
1996-10-07,100000.0,100000.0
1996-10-08,100000.0,100000.0
1996-10-09,100000.0,100000.0
1996-10-10,100000.0,100000.0
1996-10-11,100000.0,100000.0
1996-10-14,100000.0,100000.0
1996-10-15,100000.0,100000.0
1996-10-16,100000.0,100000.0
1996-10-17,100000.0,100000.0
1996-10-18,100000.0,100000.0
1996-10-21,100000.0,100000.0
1996-10-22,100000.0,100000.0
1996-10-23,100000.0,100000.0
1996-10-24,100000.0,100000.0
1996-10-25,100000.0,100000.0
1996-10-28,100000.0,100000.0
1996-10-29,100000.0,100000.0
1996-10-30,100000.0,100000.0
1996-10-31,100000.0,100000.0
1996-11-01,100000.0,100000.0
1996-11-04,100000.0,100000.0
1996-11-05,100000.0,100000.0
1996-11-06,100000.0,100000.0
1996-11-07,100000.0,100000.0
1996-11-08,100000.0,100000.0
1996-11-11,100000.0,100000.0
1996-11-12,100000.0,100000.0
1996-11-13,100000.0,100000.0
1996-11-14,100000.0,100000.0
1996-11-15,100000.0,100000.0
1996-11-18,100000.0,100000.0
1996-11-19,100000.0,100000.0
1996-11-20,100000.0,100000.0
1996-11-21,100000.0,100000.0
1996-11-22,100000.0,100000.0
1996-11-25,100000.0,100000.0
1996-11-26,100000.0,100000.0
1996-11-27,100000.0,100000.0
1996-11-29,100000.0,100000.0
1996-12-02,100000.0,100000.0
1996-12-03,100000.0,100000.0
1996-12-04,100000.0,100000.0
1996-12-05,100000.0,100000.0
1996-12-06,100000.0,100000.0
1996-12-09,100000.0,100000.0
1996-12-10,100000.0,100000.0
1996-12-11,100000.0,100000.0
1996-12-12,100000.0,100000.0
1996-12-13,100000.0,100000.0
1996-12-16,100000.0,100000.0
1996-12-17,100000.0,100000.0
1996-12-18,100000.0,100000.0
1996-12-19,100000.0,100000.0
1996-12-20,100000.0,100000.0
1996-12-23,100000.0,100000.0
1996-12-24,100000.0,100000.0
1996-12-26,100000.0,100000.0
1996-12-27,100000.0,100000.0
1996-12-30,100058.04662766638,100000.0
1996-12-31,100113.62802993918,100000.0
1997-01-02,100113.62802993918,100000.0
1997-01-03,100113.62802993918,100000.0
1997-01-06,100113.62802993918,100000.0
1997-01-07,100113.62802993918,100052.02487977335
1997-01-08,100113.62802993918,100103.37034975538
1997-01-09,100113.62802993918,100103.37034975538
1997-01-10,100113.62802993918,100103.37034975538
1997-01-13,100113.62802993918,100103.37034975538
1997-01-14,100113.62802993918,100103.37034975538
1997-01-15,100113.62802993918,100103.37034975538
1997-01-16,100113.62802993918,100103.37034975538
1997-01-17,100113.62802993918,100103.37034975538
1997-01-20,100113.62802993918,100103.37034975538
1997-01-21,100113.62802993918,100103.37034975538
1997-01-22,100113.62802993918,100103.37034975538
1997-01-23,100173.89978867822,100103.37034975538
1997-01-24,100235.12208136903,100103.37034975538
1997-01-27,100235.12208136903,100156.91120619702
1997-01-28,100235.12208136903,100156.91120619702
1997-01-29,100235.12208136903,100156.91120619702
1997-01-30,100235.12208136903,100156.91120619702
1997-01-31,100235.12208136903,100156.91120619702
1997-02-03,100235.12208136903,100185.545064463
1997-02-04,100235.12208136903,100185.545064463
1997-02-05,100235.12208136903,100185.545064463
1997-02-06,100235.12208136903,100185.545064463
1997-02-07,100235.12208136903,100185.545064463
1997-02-10,100235.12208136903,100185.545064463
1997-02-11,100235.12208136903,100185.545064463
1997-02-12,100235.12208136903,100185.545064463
1997-02-13,100235.12208136903,100185.545064463
1997-02-14,100235.12208136903,100185.545064463
1997-02-18,100192.36858134331,100185.545064463
1997-02-19,100192.36858134331,100185.545064463
1997-02-20,100192.36858134331,100185.545064463
1997-02-21,100192.36858134331,100185.545064463
1997-02-24,100192.36858134331,100230.69320007367
1997-02-25,100192.36858134331,100230.69320007367
1997-02-26,100192.36858134331,100286.63062091444
1997-02-27,100192.36858134331,100286.63062091444
1997-02-28,100192.36858134331,100286.63062091444
1997-03-03,100192.36858134331,100286.63062091444
1997-03-04,100192.36858134331,100286.63062091444
1997-03-05,100253.20490164,100286.63062091444
1997-03-06,100253.20490164,100286.63062091444
1997-03-07,100310.75721086987,100286.63062091444
1997-03-10,100310.75721086987,100407.7108205585
1997-03-11,100310.75721086987,100407.7108205585
1997-03-12,100310.75721086987,100407.7108205585
1997-03-13,100310.75721086987,100407.7108205585
1997-03-14,100310.75721086987,100407.7108205585
1997-03-17,100310.75721086987,100407.7108205585
1997-03-18,100310.75721086987,100407.7108205585
1997-03-19,100310.75721086987,100407.7108205585
1997-03-20,100310.75721086987,100407.7108205585
1997-03-21,100310.75721086987,100407.7108205585
1997-03-24,100367.27649911819,100407.7108205585
1997-03-25,100367.27649911819,100407.7108205585
